"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"134",0,0,0,0,23,1,2,0,1,1,1,1,134,5,55,15,55,15,80,0.639866991647,2.21985648751,142,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.69966156002,1,1.61021233022,160,1.1,"b"
"135",1,1,1,1,23,2,1,1,1,0,1,1,135,5,6,104,104,6,121,0.41991105134,1.42985392758,126,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.74964966174,1,2.04015970136,130,1.3,"b"
"136",1,1,0,1,23,1,2,2,2,0,1,1,136,5,122,113,113,122,169,0.359934703678,1.95994305651,138,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.699600265849,1,1.46021557521,143,1.5,"b"
"137",1,1,0,0,23,1,2,1,1,0,1,1,137,5,179,169,179,169,54,0.899787333259,2.56984771403,170,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,1.25961987998,1,2.21015247827,166,1.4,"b"
"138",0,0,0,0,23,1,2,0,1,1,1,1,138,5,60,74,60,74,157,0.949837630536,2.91984104378,51,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.919580543548,1,1.7101945429,35,1.4,"b"
"139",0,0,0,0,23,1,2,0,1,1,1,1,139,5,112,19,112,19,122,0.699853555003,1.16000152635,122,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.719573152192,1,1.28019248774,140,1.4,"b"
"140",0,0,1,1,23,2,1,0,1,1,1,1,140,5,158,98,98,158,109,0.569844408948,1.21999409893,109,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.529555208623,1,1.38019062488,116,1.4,"b"
"141",1,1,1,0,23,2,1,2,2,0,1,1,141,5,72,59,72,59,59,0.569893684657,2.11986766468,117,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.509632198911,1,1.15030532911,121,1.1,"b"
"142",0,0,1,0,23,2,1,0,2,2,1,1,142,5,162,172,162,172,59,0.869826501435,2.02990164088,1,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.989654805644,1,1.58043508046,-7,1.3,"b"
"143",0,0,0,1,23,1,2,0,2,2,1,1,143,5,10,110,110,10,171,0.739876546326,2.7198228358,107,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.799537709738,1,1.41016347516,139,1.3,"b"
"144",1,1,1,0,23,2,1,2,2,0,1,1,144,5,0,102,0,102,87,2.11972644771,NA,87,"[ 1.7]",2,13,23,33,43,53,63,73,78,0,0.979660850931,1,1.99017520519,67,1.2,"b"
"145",1,1,1,1,23,2,1,1,1,0,1,1,145,5,115,89,89,115,65,0.399925245147,1.34000117781,105,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.379588499771,1,1.45027630451,126,1.2,"b"
"146",0,0,0,1,23,1,2,0,2,2,1,1,146,5,84,7,7,84,49,5.26932869661,NA,57,"[ 1.8]",1,12,22,32,42,52,62,72,77,0,0.339636417391,1,2.18014297166,106,1.5,"b"
"147",0,0,0,1,23,1,2,0,2,2,1,1,147,5,116,55,55,116,98,1.03979283772,1.96982614088,40,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,80.0003380193,1,80.8709757672,-13,1.4,"b"
"148",1,1,1,0,23,2,1,2,2,0,1,1,148,5,130,161,130,161,49,0.519880043699,1.79989796323,139,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.859580459417,1,1.42029323853,163,1.1,"b"
"149",0,0,0,0,23,1,2,0,1,1,1,1,149,5,77,96,77,96,88,0.419920666111,1.44993528057,64,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.499657774204,1,1.64026029592,59,1.3,"b"
"150",1,1,1,0,23,2,1,2,2,0,1,1,150,5,31,125,31,125,121,0.409905078161,2.20983218617,25,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.899670754146,1,1.8302280624,16,1,"b"
"151",0,0,1,1,23,2,1,0,1,1,1,1,151,5,47,151,151,47,151,0.96987361382,2.32987501998,150,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.70969908167,1,1.77016938825,162,1.1,"b"
"152",0,0,1,1,23,2,1,0,1,1,1,1,152,5,82,135,135,82,46,1.43980762043,NA,148,"[ 1.8]",1,12,22,32,42,52,62,72,77,0,0.54966750916,1,1.49021306335,157,1.1,"b"
"153",1,1,0,0,23,1,2,1,1,0,1,1,153,5,93,59,93,59,34,0.399860345435,1.71991808214,85,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.789716219999,1,1.56019358142,71,1.3,"b"
"154",1,1,0,1,23,1,2,2,2,0,1,1,154,5,178,14,14,178,177,0.330004518943,1.96995533938,12,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.759626189678,1,1.29021708954,3,1.3,"b"
"155",0,0,1,0,23,2,1,0,2,2,1,1,155,5,6,147,6,147,67,1.21980060164,NA,21,"[ 2.]",1,11,21,31,41,51,61,71,76,0,0.589640924318,1,1.38050821282,-46,1.1,"b"
"156",0,0,0,1,23,1,2,0,2,2,1,1,156,5,158,18,18,158,70,1.47977833143,2.75986115067,85,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,1.03955607395,1,2.09011234861,115,1,"b"
"157",0,0,1,0,23,2,1,0,2,2,1,1,157,5,109,12,109,12,1,0.869775122499,2.50974937895,135,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.669705836048,1,1.73023893911,152,1.1,"b"
"158",1,1,0,0,23,1,2,1,1,0,1,1,158,5,116,42,116,42,39,0.379900679405,2.06990179712,105,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.03954105087,1,1.57016019412,104,1.3,"b"
"159",0,0,1,1,23,2,1,0,1,1,1,1,159,5,133,2,2,133,21,2.09967934735,3.249741603,156,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.809631417711,1,2.10011711994,176,1.3,"b"
"160",0,0,1,0,23,2,1,0,2,2,1,1,160,5,1,112,1,112,103,1.16984494978,2.42008892462,0,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.839644830317,1,1.42041492549,0,1.4,"b"
"161",1,1,0,1,23,1,2,2,2,0,1,1,161,6,82,112,112,82,89,0.76983046753,1.86012729958,116,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.699670573869,1,1.71020896505,124,1.3,"b"
"162",0,0,0,1,23,1,2,0,2,2,1,1,162,6,77,123,123,77,21,0.589835623452,NA,112,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,0.439740317022,1,1.50022204114,111,1.5,"b"
"163",0,0,1,0,23,2,1,0,2,2,1,1,163,6,45,168,45,168,1,0.999847966415,NA,112,"[ 1.9]",1,11,21,31,41,51,61,71,76,0,1.13960048218,0,NA,122,1.2,"b"
"164",0,0,0,0,23,1,2,0,1,1,1,1,164,6,82,89,82,89,116,0.689847281363,NA,70,"[ 2.]",1,11,21,31,41,51,61,71,76,0,0.729581228599,1,1.54016510967,59,1.3,"b"
"165",1,1,1,1,23,2,1,1,1,0,1,1,165,6,142,61,61,142,38,0.49991707259,2.25988969453,60,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.679584413492,1,1.4602360066,51,1.5,"b"
"166",1,1,0,0,23,1,2,1,1,0,1,1,166,6,32,131,32,131,134,0.289910318212,1.81998682776,47,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.689682327929,1,1.44027153318,38,1,"b"
"167",1,1,1,0,23,2,1,2,2,0,1,1,167,6,54,130,54,130,149,0.599870140484,1.73991801003,41,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.579654180683,1,1.25038879735,26,1.1,"b"
"168",0,0,1,1,23,2,1,0,1,1,1,1,168,6,0,20,20,0,19,0.739856114935,2.34984369986,45,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,3.55929429976,1,4.26988665386,42,1.2,"b"
"169",1,1,1,1,23,2,1,1,1,0,1,1,169,6,63,115,115,63,75,0.499909561049,1.86994458286,122,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.839655947399,1,2.26014118091,136,1.3,"b"
"170",0,0,0,1,23,1,2,0,2,2,1,1,170,6,175,121,121,175,102,0.739895475408,2.42984311096,112,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,1.2096314778,0,NA,120,1.4,"b"
"171",0,0,0,1,23,1,2,0,2,2,1,1,171,6,80,86,86,80,19,1.40982034798,3.02971084775,143,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,1.38944874906,1,2.97000070909,150,1.1,"b"
"172",0,0,1,0,23,2,1,0,2,2,1,1,172,6,42,26,42,26,24,0.679896292664,NA,175,"[ 1.8]",1,11,21,31,41,51,61,71,76,0,2.32947059863,1,4.27999207983,-124,1.1,"b"
"173",0,0,0,0,23,1,2,0,1,1,1,1,173,6,115,143,115,143,36,0.639868794417,2.50996030301,148,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.469739607934,1,1.32027376862,177,1.4,"b"
"174",0,0,1,1,23,2,1,0,1,1,1,1,174,6,175,18,18,175,128,1.17986173958,2.48982606877,16,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.869639013381,1,1.82036180388,33,1.4,"b"
"175",1,1,0,1,23,1,2,2,2,0,1,1,175,6,60,46,46,60,45,0.949833424072,1.93995064016,45,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,2.28945301561,1,3.42002432537,48,1.4,"b"
"176",1,1,1,0,23,2,1,2,2,0,1,1,176,6,85,124,85,124,29,2.53971441723,3.21978858318,29,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.359659480826,1,1.47022275023,-13,1.2,"b"
"177",1,1,0,1,23,1,2,2,2,0,1,1,177,6,45,121,121,45,67,0.369913034387,2.03990220575,131,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.829604604514,1,1.51022230555,143,1.1,"b"
"178",1,1,1,0,23,2,1,2,2,0,1,1,178,6,44,54,44,54,33,0.209925930199,1.76992120694,49,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.909578476372,1,2.22012540067,28,1.3,"b"
"179",1,1,1,1,23,2,1,1,1,0,1,1,179,6,81,9,9,81,102,0.419831429006,2.09988906957,20,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.73962656225,1,1.58034764612,29,1.3,"b"
